the_version,non_the_version,the_count,non_the_count
"The Climate Reality Project, San Diego Chapter","Climate Reality Project, San Diego Chapter",28,1
The Watershed Project,Watershed Project,28,1
"The American Federation of State, County and Municipal","American Federation of State, County And Municipal",27,2
The Irvine Company,Irvine Company,26,3
The Place4grace,Place4grace,25,4
The Agora Group,Agora Group,20,9
The League to Save Lake Tahoe,League To Save Lake Tahoe,19,10
The Fund for Animals Wildlife Center,Fund for Animals Wildlife Center,15,14
The California Mental Health Directors,California Mental Health Directors,7,22
The League of Humane Voters,League of Humane Voters,6,23
the Climate Reality Project - Silicon Valley Chapter,Climate Reality Project - Silicon Valley Chapter,4,25
The California Air Pollution Control Officers' Association,California Air Pollution Control Officers' Association,3,26
The Chamber of Commerce Mountain View,Chamber of Commerce Mountain View,3,26
The Association for Children for Enforcement of,Association for Children for Enforcement of,2,27
The California Fish and Game Commission,California Fish and Game Commission,2,27
The California Manufacturers & Technology,California Manufacturers & Technology,2,27
The Roberts Enterprise Development Fund,Roberts Enterprise Development Fund,2,27
The Salvadoran American Leadership and Educational Fund,Salvadoran American Leadership and Educational Fund,2,27
The Society of California Accountants,Society of California Accountants,2,27
The California Association of Public Health Laboratory Directors,California Association of Public Health Laboratory Directors,1,28
The California Employment Lawyers Association (Co-Sponsor),California Employment Lawyers Association (Co-Sponsor),1,28
The California Horse Council,California Horse Council,1,28
The Chamber of Commerce Alliance of Ventura and Santa Barbara Counties,Chamber of Commerce Alliance of Ventura and Santa Barbara Counties,1,28
The FPPC,FPPC,1,28
The Los Angeles Breast Cancer Alliance,Los Angeles Breast Cancer Alliance,1,28
The Pasadena,Pasadena,1,28
The United Nurses Association of California/Union of Health Care,United Nurses Association of California/Union of Health Care,1,28
the Grove Collaborative,Grove Collaborative,1,28
the Pacific Coast Federation of Fisherman's Associations,Pacific Coast Federation of Fisherman's Associations,1,28
The Cat and Dog Rescue Association,Cat and Dog Rescue Association,27,1
The Climate Reality Project Orange County Chapter,Climate Reality Project Orange County Chapter,26,2
The Collective for Liberatory Lawyering,Collective for Liberatory Lawyering,26,2
The Village Family Services,Village Family Services,25,3
The Alaskan Malamute Club of America,Alaskan Malamute Club of America,17,11
The Human Society of the United States,Human Society of the United States,16,12
The Danny Foundation,Danny Foundation,15,13
The Gordian Group,Gordian Group,15,13
The Surplus Line Association of California,Surplus Line Association of California,9,19
The ARC California,ARC California,8,20
The Center for Media Justice,Center for Media Justice,4,24
The Alcohol Policy Network,Alcohol Policy Network,3,25
The California ALS Advocacy Committee,California ALS Advocacy Committee,3,25
The California WIC Association,California Wic Association,3,25
The City and County of San Francisco Human Services Agency,City and County of San Francisco Human Services Agency,3,25
The ALS Association Golden West Chapter,ALS Association Golden West Chapter,2,26
The Alliance of Communities for Sustainable Fisheries,Alliance of Communities for Sustainable Fisheries,2,26
The Central Coast Psychological Association,Central Coast Psychological Association,2,26
The Humane Society of the United,Humane Society of the United,2,26
The San Luis & Delta-Mendota Water Authority,San Luis & Delta-Mendota Water Authority,2,26
The American Civil Liberties Union of California (Co-Sponsor),American Civil Liberties Union of California (Co-Sponsor),1,27
The Association for Children For Enforcement of,Association for Children for Enforcement of,1,27
The City of Solvang,City of Solvang,1,27
"The County of Santa Cruz, Board of Supervisors","County of Santa Cruz, Board of Supervisors",1,27
The Humboldt And Mendocino Redwood Companies,Humboldt and Mendocino Redwood Companies,1,27
The Humboldt and Mendocino Redwood Companies,Humboldt and Mendocino Redwood Companies,1,27
The Los Angeles County Sheriff's Office,Los Angeles County Sheriff's Office,1,27
The San Diego Board of Supervisors,San Diego Board of Supervisors,1,27
The Keep a Breast Foundation,Keep A Breast Foundation,26,1
The Big Fresno Fair,Big Fresno Fair,20,7
The Humane Farming Action Fund,Humane Farming Action Fund,13,14
The Civil Justice Association of California,Civil Justice Association Of California,10,17
The California State PTA,California State Pta,8,19
"The Women's Foundation of California, Women's Policy Institute","Women's Foundation of California, Women's Policy Institute",5,22
The Episcopal Diocese of California,Episcopal Diocese of California,4,23
The Los Angeles LGBT Center,Los Angeles Lgbt Center,4,23
The Building Industry Credit and Supply Coalition,Building Industry Credit and Supply Coalition,3,24
The Alcohol Policy Network of Alameda County,Alcohol Policy Network of Alameda County,2,25
"The California School Employees Association (CSEA), AFL-CIO","California School Employees Association (CSEA), AFL-CIO",2,25
The Hollywood,Hollywood,2,25
The Irvine Community Land Trust,Irvine Community Land Trust,2,25
The DTSC,DTSC,1,26
The Fresno Area Hispanic Foundation,Fresno Area Hispanic Foundation,1,26
The Glendale City Employees Association (GCEA),Glendale City Employees Association (GCEA),1,26
The Jewish Community Relations Committee,Jewish Community Relations Committee,1,26
The Los Angeles Galaxy,Los Angeles Galaxy,1,26
"The National Alliance on Mental Illness, California","National Alliance on Mental Illness, California",1,26
The Vote Health Coalition,Vote Health Coalition,1,26
The Cambodian Family,Cambodian Family,22,4
The Classical Academies,Classical Academies,19,7
"The Media Coalition, Inc","Media Coalition, Inc",19,7
The Irish Water Spaniel Club of America,Irish Water Spaniel Club of America,18,8
The TransLatin@ Coalition,Translatin@ Coalition,17,9
The Health Trust,Health Trust,16,10
The Right to Know,Right to Know,16,10
The East Los Angeles Community Union,East Los Angeles Community Union,15,11
The Southland Corporation,Southland Corporation,9,17
The Humane Society of San Bernardino Valley,Humane Society of San Bernardino Valley,6,20
The Health Care Group,Health Care Group,4,22
The Trust,Trust,4,22
The Greenlining,Greenlining,3,23
The Legislative Women's Caucus,Legislative Women's Caucus,3,23
The Personal Assistance Services Council,Personal Assistance Services Council,3,23
The California Women's Agenda,California Women's Agenda,2,24
The Valley Economic Development Center,Valley Economic Development Center,2,24
"the Child Action, INC","Child Action, INC",2,24
The Coalition of California Welfare Rights Organizations (Co-Sponsor),Coalition of California Welfare Rights Organizations (Co-Sponsor),1,25
The Committee on,Committee on,1,25
The Geothermal Energy Association,Geothermal Energy Association,1,25
The League of California Cities (LCC),League of California Cities (LCC),1,25
The Los Angeles Police Protective,Los Angeles Police Protective,1,25
The National Association of Social,National Association of Social,1,25
the California Federation of,California Federation of,1,25
The Canine Condition,Canine Condition,24,1
The Personal Insurance Federation of California,Personal Insurance Federation Of California,24,1
The Century Council,Century Council,18,7
The Lion Electric Co,Lion Electric Co,17,8
"The California Sportsmen's Lobby, Inc","California Sportsmen's Lobby, Inc",10,15
The Travel Technology Association,Travel Technology Association,7,18
The Women's,Women's,6,19
The Federation of Hillside and Canyon Associations,Federation of Hillside and Canyon Associations,5,20
The LGBTQ Center of Long Beach,LGBTQ Center of Long Beach,5,20
The Institute For College Access And Success,Institute for College Access and Success,3,22
The Monterey Fish Market,Monterey Fish Market,3,22
The Office of the San Diego County District Attorney,Office of the San Diego County District Attorney,3,22
The Pasadena Humane Society & SPCA,Pasadena Humane Society & SPCA,3,22
The American Liver Foundation,American Liver Foundation,2,23
The California State Horsemen's Association,California State Horsemen's Association,2,23
