conjoined_text,mapped_orgs
"Agencies, Calleguas Municipal Water District, Carmel Area Wastewater District, Carpinteria",Calleguas Municipal Water District ; Carmel Area Wastewater District ; Carpinteria Valley Water District
"Agencies, Santa Clara Valley Water District, Sierra Club",Santa Clara Valley Water District ; Sierra Club
"Agencies, South Tahoe Public Utility District",South Tahoe Public Utility District
Agency on Aging\Area 4 (AAA4),Agency on Aging/Area 4
"Agency, Irvine Ranch Water District, Long Beach",Irvine Ranch Water District ; Long Beach Water Department
"Agency, Jack Seiler Farms, Kern County",Jack Seiler Farms ; Kern County Water Agency
"Agency, Rancho Murieta Community Services",Rancho Murieta Community Services District
"Agency, Sweetwater Union High School District, Tehachapi Unified School District, Union of Concerned Scientists, Western Propane Gas Association",Sweetwater Union High School District ; Tehachapi Unified School District ; Union of Concerned Scientists ; Western Propane Gas Association
"Agency, Vallecitos Water District, Valley",Vallecitos Water District
"Agency, Western Center on Law and Poverty, Inc., California Air Pollution Control Officers",Western Center on Law and Poverty ; California Air Pollution Control Officers Association
Aging Services of California Alzheimer's Association,Aging Services of California ; Alzheimer's Association
Aging Services of California: BIOCOM,Aging Services of California ; BIOCOM
Agricultural Council of California (California Grocerso),Agricultural Council of California
"Agricultural Council of California, Alliance of Western Milk Producers, California Association",Agricultural Council of California ; Alliance of Western Milk Producers
"Agricultural Council of California, Auto Care Association, Brea Chamber of Commerce, California Business Properties Association, California Chamber of Commerce, California Construction and Industrial Materials Association, California Farm Bureau Federation, California Fuels and Convenience Alliance, California League of Food Producers, Camarillo Chamber of Commerce, CAWA, Greater Conejo Valley Chamber of Commerce, Murieta Wildomar Chamber of Commerce, National Federation of Independent Business, Orange County Business Council, Oxnard Chamber of Commerce, San Gabriel Valley Economic Parnership, Santa Maria Valley Chamber of Commerce, Southwest California Legislative Council, Torrance Area Chamber of Commerce, Tulare Chamber of Commerce, Western Independent Refiners Association, Western States Petroleum Association",Agricultural Council of California ; Auto Care Association ; Brea Chamber of Commerce ; California Business Properties Association ; California Chamber of Commerce ; California Construction and Industrial Materials Association ; California Farm Bureau Federation ; California Fuels and Convenience Alliance ; California League of Food Producers ; Camarillo Chamber of Commerce ; CAWA ; Greater Conejo Valley Chamber of Commerce ; Murrieta Wildomar Chamber of Commerce ; National Federation of Independent Business ; Orange County Business Council ; Oxnard Chamber of Commerce ; San Gabriel Valley Economic Partnership ; Santa Maria Valley Chamber of Commerce ; Southwest California Legislative Council ; Torrance Area Chamber of Commerce ; Tulare Chamber of Commerce ; Western Independent Refiners Association ; Western States Petroleum Association
Agricultural Energy Consumer Association Wine Institute,Agricultural Energy Consumers Association ; Wine Institute
Agriculture Council of California |Hedgerow Farms,Agriculture Council of California ; Hedgerow Farms
"Aids for Daily Living, California Association of Medical Products and Supplies, Shield Health Care",Aids for Daily Living ; California Association of Medical Products and Supplies ; Shield Health Care
Air Conditioning Trade Association Associated Builders and Contractors of California City and County of San Francisco (prior version) City of Brawley,Air Conditioning Trade Association ; Associated Builders and Contractors of California ; City and County of San Francisco ; City of Brawley
Air Conditioning Trade Association Associated Builders and Contractors of California City of Arcadia,Air Conditioning Trade Association ; Associated Builders and Contractors of California ; City of Arcadia
Air Force Sergeants Assoc.: American GI Forum of Calif,Air Force Sergeants Association ; American GI Forum of California
"Air Now, Coachella Valley Association of Governments, Coalition for Clean Air, Communities For A Better Environment, Community",Clean Air Now ; Coachella Valley Association of Governments ; Coalition for Clean Air ; Communities for a Better Environment
"Air Quality Management District, Bluewater",Air Quality Management District ; Bluewater Network
"Air Quality Management District, Chevron, American Lung Association, Coalition for Clean",Air Quality Management District ; Chevron ; American Lung Association ; Coalition for Clean Air
"Air Quality Management District, Natural",Air Quality Management District
"Air Quality Management District, Sierra Club, Union of Concern Scientists, Western Propane",Air Quality Management District ; Sierra Club ; Union of Concerned Scientists ; Western Propane Gas Association
"Air Quality Management District, Western States",Air Quality Management District ; Western States Petroleum Association
Air Transport Association of America Southwest Airlines,Air Transport Association of America ; Southwest Airlines
"Air Vehicle Coalition, Sierra Club, Southwest",Sierra Club
"Air, California Air Pollution Control Officers",California Air Pollution Control Officers Association
"AirTouch Communications, Cal-Tax, Cellular",AirTouch Communications ; Cal-Tax ; Cellular Communications
"Aircraft Owners and Pilots Association, California Aviation Business Association, City of San",Aircraft Owners and Pilots Association ; California Aviation Business Association
"Airline Associates, Automotive Technician's",Airline Associates ; Automotive Technicians
"Airport, California Chamber of Commerce",California Chamber of Commerce
"Alameda Alliance for Health, Alameda County",Alameda Alliance for Health
"Alameda Corridor-East Construction Authority, American Lung Association, Natural Resources",Alameda Corridor-East Construction Authority ; American Lung Association ; Natural Resources Defense Council
"Alameda County Bar Association, Estate Planning, Trust and Probate Law Section, Western Center on Law and Poverty, 32 individual probate attorneys, and 3 individual probate judges",Alameda County Bar Association ; Western Center on Law and Poverty
"Alameda County Board of Supervisors and American Federation of State, County and Municipal Employees (AFSCME)","Alameda County Board of Supervisors ; American Federation of State, County and Municipal Employees (AFSCME)"
Alameda County Board of Supervisors: City of Antioch,Alameda County Board of Supervisors ; City of Antioch
Alameda County Congestion Management Agency California Association of Council of Governments,Alameda County Congestion Management Agency ; California Association of Councils of Governments
Alameda County District Attorney and Los Angeles County,Alameda County District Attorney ; Los Angeles County District Attorney
"Alameda County District Attorney, City of Oakland",Alameda County District Attorney ; City of Oakland
Alameda County Fire Department & Sheriff's Department,Alameda County Fire Department ; Alameda County Sheriff's Department
Alameda County Food Bank: Aspiranet,Alameda County Food Bank ; Aspiranet
"Alameda County Green Business Program, Blue and Gold Fleet, C.A.R.S., California League of Conservation Voters, Central Contra Costa",Alameda County Green Business Program ; Blue and Gold Fleet ; C.A.R.S. ; California League of Conservation Voters
"Alameda County Social Services Agency, Alameda County Board of Supervisors",Alameda County Social Services Agency ; Alameda County Board of Supervisors
Alameda County Source Reduction and Recycling Board Alameda County Waste Management Authority,Alameda County Source Reduction and Recycling Board ; Alameda County Waste Management Authority
Alameda County Transportation AuthorityAssociation for Los Angeles Deputy Sheriffs,Alameda County Transportation Authority ; Association for Los Angeles Deputy Sheriffs
"Alameda County Waste Management Authority, Alhambra, Arcadia, Berkeley, California State",Alameda County Waste Management Authority ; City of Alhambra ; City of Arcadia ; City of Berkeley
"Alameda County Waste Management Authority, Allied Waste Industries, California Advocates",Alameda County Waste Management Authority ; Allied Waste Industries ; California Advocates
"Alameda County Waste Management Authority, California Biomass, Inc., Californians Against","Alameda County Waste Management Authority ; California Biomass, Inc. ; Californians Against Waste"
"Alameda County Waste Management Authority, California Forestry Association, Californians",Alameda County Waste Management Authority ; California Forestry Association ; Californians Against Waste
"Alameda County Waste Management Authority, California League of Conservation Voters, California Refuse Removal Council, California",Alameda County Waste Management Authority ; California League of Conservation Voters ; California Refuse Removal Council
