leginfo_org,leginfo_bills,suggested_canonical,matched_name_in_crosswalk,matched_via,wratio,token_set_ratio
Woman For: Orange County,1,Woman for Orange County,Woman for Orange County,canonical,97.9,93.6
Winnemem Winte Tribe- Middle River People,1,Winnemem Wintu Tribe,Winnemem Winte Tribe-Middle River People,alt(alternate_spelling),98.8,84.0
"WinWinWeb, LLC (dba Everything Grows Interior Landscaping)",1,"WinWinWeb, LLC dba Everything Grows Interior Landscaping","WinWinWeb, LLC dba Everything Grows Interior Landscaping",canonical,99.1,91.2
William W. Abbott ( Abbott & Kindermann,1,"William W. Abbott ( Abbott & Kindermann, LLP)",William W. Abbott ( Abbott & Kindermann),alt(alternate_spelling),100.0,98.5
Will Travis (Executive Director,1,Will Travis (Executive Director),Will Travis (Executive Director),canonical,100.0,98.4
Westside Regional Center (Culver City),1,"Westside Regional Center, Culver City","Westside Regional Center, Culver City",canonical,100.0,77.3
Westside Community Healthcare District,1,West Side Community Healthcare District,West Side Community Healthcare District,canonical,98.7,88.3
Western States Council of Sheet Metal Workers Unions,1,WESTERN STATES COUNCIL OF SHEET METAL WORKERS,Western States Council of Sheet Metal Workers Union,alt(alternate_spelling),99.0,99.0
"Western States Council Sheet Metal, Air, Rail and Transportation Workers",1,WESTERN STATES COUNCIL OF SHEET METAL WORKERS,"Western States Council of Sheet Metal, Air, Rail and Transportation Workers",alt(alternate_spelling),98.0,100.0
"Western Electrical Contractors Association, Independent Electrical",1,Western Electrical Contractors Association - Independent Electrical,Western Electrical Contractors Association - Independent Electrical,canonical,99.2,97.3
Western Centers on Law & Poverty,1,Western Center on Law & Poverty,Western Center on Law & Poverty,canonical,98.4,98.4
Western Center on Law and Poverty (cosource),1,WESTERN CENTER ON LAW AND POVERTY,Western Center on Law and Poverty (co-spource),alt(alternate_spelling),97.7,97.8
Western Center on Law and Poverty (Secs,1,WESTERN CENTER ON LAW AND POVERTY,Western Center on Law and Poverty (Secs),alt(alternate_spelling),100.0,98.7
"Western Center on Law Poverty, Inc",1,WESTERN CENTER ON LAW AND POVERTY,"Western Center on Law & Poverty, Inc",alt(alternate_spelling),97.1,100.0
Western Additional Senior Center - San Francisco,1,"Western Additional Senior Center, San Francisco","Western Additional Senior Center, San Francisco",canonical,98.9,96.8
West Hollywood Travel + Tourism Board,1,West Hollywood Travel & Tourism Board,West Hollywood Travel & Tourism Board,canonical,100.0,97.3
Wesley United Methodist Church (Fresno),1,"Wesley United Methodist Church, Fresno","Wesley United Methodist Church, Fresno",canonical,100.0,77.9
Weaverville Community Services District,1,Weavervile Community Services District,Weavervile Community Services District,canonical,98.7,98.7
We the People San Diego,1,WE THE PEOPLE - SAN DIEGO,We the People-San Diego,alt(alternate_spelling),100.0,95.7
We The People San Diego,1,WE THE PEOPLE - SAN DIEGO,We the People-San Diego,alt(alternate_spelling),100.0,91.3
Watsonville/Santa Cruz,1,Watsonville-Santa Cruz,Watsonville-Santa Cruz,canonical,100.0,95.5
Waterways Restoration Insitute,1,Waterways Restoration Institute,Waterways Restoration Institute,canonical,98.4,98.4
Watereuse Association of California,1,WateReuse,Water Reuse Association of California,alt(chapter),97.2,86.1
WaterReuse Association of California,1,WateReuse,Water Reuse Association of California,alt(chapter),98.6,84.9
WaterReUse Association of California,1,WateReuse,Water Reuse Association of California,alt(chapter),98.6,84.9
Walmart Stores Inc,1,Wal-Mart Stores,Wal-Mart Stores Inc,alt(alternate_spelling),97.3,91.9
WEAVE - Women Escaping A Violent Environment,1,Women Escaping a Violent Environment (WEAVE),"WEAVE, Women Escaping a Violent Environment",alt(alternate_spelling),98.9,92.0
WEAVE (Women Escaping a Violent Environment),1,Women Escaping a Violent Environment (WEAVE),"WEAVE, Women Escaping a Violent Environment",alt(alternate_spelling),100.0,82.8
WEAVE (Women Escaping A Violent Environment),1,Women Escaping a Violent Environment (WEAVE),"WEAVE, Women Escaping a Violent Environment",alt(alternate_spelling),100.0,78.2
"Vietnam Veterans of California - North Bay: Resouce Center, Santa Rosa",1,"Vietnam Veterans of California - North Bay Resource Center, Santa Rosa","Vietnam Veterans of California - North Bay Resource Center, Santa Rosa",canonical,98.6,98.6
Vietnam Veterans of California - California State Council,1,"Vietnam Veterans, California State Council","Vietnam Veterans of California, California State Council",alt(alternate_spelling),99.1,97.8
"Vietnam Veterans of American, Inc., Tuolumne County Chapter",1,"Vietnam Veterans of America, Inc., Tuolumne County Chapter","Vietnam Veterans of America, Inc., Tuolumne County Chapter",canonical,99.1,99.1
"Vietnam Veterans of American, California Council",1,Vietnam Veterans of America California Council,Vietnam Veterans of America California Council,canonical,97.9,97.9
Vietnam Veterans of America-California state council,1,VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL,Vietnam Veterans of American-California State Council,alt(alternate_spelling),99.0,95.2
Vietnam Veterans of America-California State Council[1,1,VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL,Vietnam Veterans of American-California State Council,alt(alternate_spelling),97.2,97.2
"Vietnam Veterans of America, Inc., South Bay Chapter 53",1,"Vietnam Veterans of America, Inc - South Bay Chapter","Vietnam Veterans of America, Inc - South Bay Chapter",canonical,97.2,95.3
Vietnam Veterans of America -California State Council,1,VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL,Vietnam Veterans of America--California State Council,alt(alternate_spelling),100.0,84.9
Vietnam Veterans of America (CA State Council),1,VIETNAM VETERANS OF AMERICA - CALIFORNIA STATE COUNCIL,"Vietnam Veterans of America, CA State Council",alt(alternate_spelling),100.0,90.1
"Victorville Chapter, Southern Christian Leadership: Conference",1,"Victorville Chapter, Southern Christian Leadership Conference","Victorville Chapter, Southern Christian Leadership Conference",canonical,99.2,99.2
Veterans of foreign Wards of the United States,1,Veterans of Foreign Wars of the United States,Veterans of Foreign Wars of the United States,canonical,98.9,84.7
"Veterans of Foreignn Wars, Department of California",1,"Veteran of Foreign Wars, Department of California","Veteran of Foreign Wars, Department of California",canonical,98.0,97.9
"Veterans of Foreign Wars, Wasco Post No. 6742",1,Veterans of Foreign Wars of the United States,Veterans of Foreign Wars - Wasco Post No. 6742,alt(chapter),98.9,96.7
"Veterans of Foreign Wars, Department o/California",1,"Veteran of Foreign Wars, Department of California","Veteran of Foreign Wars, Department of California",canonical,98.0,80.0
"Veterans of Foreign Wars on the United States, Department of California",1,Veterans of Foreign Wars of the United States,Veterans of Foreign Wars of the United States Department of California,alt(chapter),97.9,97.0
Veterans of Foreign Wars of the Untied States (Department of California),1,Veterans of Foreign Wars of the United States,Veterans of Foreign Wars of the United States Department of California,alt(chapter),97.9,80.0
Veterans of Foreign Wars of the United States- Department of California,1,Veterans of Foreign Wars of the United States,Veterans of Foreign Wars of the United States Department of California,alt(chapter),99.3,99.2
"Veterans of Foreign Wars of the United States, Department: of California",1,Veterans of Foreign Wars of the United States,Veterans of Foreign Wars of the United States Department of California,alt(chapter),98.6,98.5
Veterans of Foreign Wars of the United States (Department of California),1,Veterans of Foreign Wars of the United States,Veterans of Foreign Wars of the United States Department of California,alt(chapter),99.3,81.5
"Veterans of Foreign War, Department of California",1,"Veteran of Foreign Wars, Department of California","Veteran of Foreign Wars, Department of California",canonical,98.0,97.8
Veterans for Peace - Jon Castro Chapter 19,1,Veterans for Peace Jon Castro Chapter 19,Veterans for Peace Jon Castro Chapter 19,canonical,97.6,100.0
Veterans Advisory Council - Orange County,1,COUNTY OF ORANGE VETERANS ADVISORY COUNCIL,"Veterans Advisory Council, Orange County",alt(alternate_spelling),98.8,96.3
Veterans Advisor Council,1,Veterans Advisory Council,Veterans Advisory Council,canonical,98.0,98.0
Vesper Hospice & Home Health of the East Bay,1,Vesper Hospice Home Health of the East Bay,Vesper Hospice Home Health of the East Bay,canonical,97.7,100.0
Ventura County Sheriffos Department,1,Ventura County Sheriffs Department,Ventura County Sheriffs Department,canonical,98.6,98.6
Vaugn Next Century learning Center,1,Vaughn Next Century Learning Center,Vaughn Next Century Learning Center,canonical,98.6,78.3
Valley Industry Commerce Assoc. (VICA).),1,VALLEY INDUSTRY & COMMERCE ASSOCIATION,Valley Industry Commerce Assoc. (VICA).,alt(alternate_spelling),100.0,98.7
"Valley Economic Development Center, Inc. --Van Nuys",1,VALLEY ECONOMIC DEVELOPMENT CENTER,"Valley Economic Development Center, Inc. - Van Nuys",alt(alternate_spelling),100.0,98.0
"Valley ""Clean Air Now",1,Valley Clean Air Now (Valley CAN),Valley Clean Air Now,alt(chapter),97.6,97.6
Vallergas market,1,Vallergas Markets,Vallergas Markets,canonical,97.0,90.9
Urban Corps- San Diego County,1,Urban Corps of San Diego County,Urban Corps San Diego County,alt(alternate_spelling),98.2,98.2
Upper Salinas/Las Tablas Resource Conservation District,1,Upper Salinas - Las Tablas Resource Conservation District,Upper Salinas-las Tablas Resource Conservation District,alt(alternate_spelling),100.0,96.4
University of the Philippines Alumni Association - Sacramento & Vicinity,1,University of the Philippines Alumni Association Sacramento & Vicinity,University of the Philippines Alumni Association Sacramento & Vicinity,canonical,98.6,100.0
"University of San Diego, Hahn School: of Nursing",1,University of San Diego Hahn School of Nursing,University of San Diego Hahn School of Nursing,canonical,97.9,97.7
University of San Diego School of Law's Children's Advocacy Institute (co,1,University of San Diego School of Law's Children's Advocacy Institute,University of San Diego School of Law's Children's Advocacy Institute,canonical,97.2,100.0
University of San Diego School of Law - Children's Advocacy Institute,1,University of San Diego School of Law's Children's Advocacy Institute,"University of San Diego School of Law, Children's Advocacy Institute",alt(alternate_spelling),99.3,97.7
"University of California, San Francisco - Diabetes Center",1,"University of California, San Francisco Diabetes Center","University of California, San Francisco Diabetes Center",canonical,98.2,100.0
"University of California, Riverside - College of Engineering",1,"University of California, Riverside College of Engineering","University of California, Riverside College of Engineering",canonical,98.3,100.0
"University of California, Berkeley)",1,University of California at Berkeley,University of California Berkeley,alt(alternate_spelling),98.5,97.1
